Username,Comment
@JasonC683,"even today, we do not know what trully happened. the people in the US government are responsible for creating al qaeda back in the 80's. a friend of america today, an enemy tomorrow."
@KapilSingh410,Inside job!
@BFFLIFESFOREVER,"6:39 ""TIMBER!!"""
@KNProNoob,"Why does the description say ""eleventh anniversary"" when the video is posted in 2011?"
@geraldfindon827,"You yanks still crying over this , get over it for fk sake . You have murdered probably millions since in Iraq , Afghanistan, Libya, Syria ( were you are stealing their oil) etc and not a word about it, last year you murdered 8 children from the same family and told the father "" these things happen, get over it "" , so stop looking for sympathy over this , we have none for you yank terrorists."
@sevenxxi7416,https://www.youtube.com/watch?v=4-WIi2nyeXw
@TessaiyaSongBird,"So my father used to work in the hotel that was right under the World Trade Center. He was late to work that day and dropped me off at kindergarten in jersey city when I was 4. Thank..god..he went late. He was suppose to be there at 8:30am but woke up around that time and left at 8:40 it was a 30 minute drive,he was on his way when he heard the first plane hit but he didn't belive it. But there's a park on his way to work where it had a clear shot of the World Trade Center he stopped and he told me he literally saw the second plane go into the world trade, he stayed there and even watched as both towers went down. He was good friends with the man known as the falling man, and it hurt him to see him in the photos so he doesn't like to talk about it. But he came to pick me up right afterwards and told me what happened. Idk why but even at four I had an idea of how insane it was what was happening, and now every year during September I watch these old videos and more and more I realize how tragic and devastating it was and I'm so thankful my father was late I could have lost him that day. Every time I go to the world trade my heart just races and there's a always a overwhelming sorrow that even 21 years later you can feel."
@lathanelluri,I am indian. The terrorist group tried to make islam look bad. Osama bin laden is a terrorist and we will never forgive him for destroying the twin towers. Rest in peace 3000 americans.
@boris123f,https://studio.youtube.com/video/JA9i6P2Ea5w/edit
@aragonbudick4363,That is sad is the children okay or not
@ExxonCo,"Every year on this day, I will watch this video, So I never forget."
@LizTart,"I still weep every time I watch these videos. I remember every moment of that day, in vivid, horrific detail. I will always remember, and I will NEVER FORGET!"
@fkthedemlibscum7026,I hope no Republicans or Republican supporters were killed that day.
@tymacdougall3140,So much shady events occurred before and after 9/11. The American elites planned this.
@GEORGE-mn8bu,"To: EVERYONE! WHO!,..... LOST Loving people.. Never will forget...."
@leonidas2x859,RIP to all the victims till this day #neverforgotten
@xaoc25,Welcome NWO
@jackieosinski2220,Prayer for America !! https://www.youtube.com/watch?v=ppELu0XQhNY
@oreajessica,"Sunday will mark 21 years since the 9/11 attacks, May God rest the souls of the 2,977 people."
@stevev.3628,Inside job.
@estefaniachevez3958,New York in 9/11/1 is to sad
@googleyoutube5536,Lol the one guy that was late for work
@richardpasquin,Im glad I wasnt around when this happened
@trevor437,"For only a few hours, Americans didn't see black and white on the streets of New York, they saw Americans."
@ME-jf8qh,September is my favorite month
@dbdb32,"I was in the 6th grade. We were in school and all courses ended and everyone was sent to homeroom until end of day. We went into class with the TV already on. Students were being picked up early one by one. My town ran a second edition of the newspaper that day covering the story. Over the course of the next week would be the last time I saw .99 cent gas prices in my life up until this point. The preeminent thought on my mind at the time was if my dad would get drafted. He told me it was unlikely but if so he would serve again since it would be his duty. Looking at the world today, I feel like events leading up to this, sept 11, and how tragedy is portrayed in the media was the turning point into ""the new normal"" for our generation. Before leaving homeroom, my teacher stood in front of all of us and said ""The world as we knew it before today no longer exists...regardless of your beliefs.""....she wasn't wrong. The best way I could describe how I felt was lack of security. We always thought ""oh, things like that don't happen here"" and it showed my ignorance as an ordinary American. Even now I look back and remember a feeling of idk despair, confusion, anxiety, fear, uncertainty it was a lot that day, and I feel for the fallen, their families, and the brave humans that survived in nyc that day."
@vfernandez6454,I what born in September 11
@christosantonopoulos2018,What do you think DARPA and TWIN TOWER FAMILIES OF THE VICTIMS
@christosantonopoulos2018,Gee wonder how it happens Australia
@blackedits1994,Ohh very pathetic .. ... I don't know why we human do this type of cruelty to our own benefits.. .. Why we take an innocent's life. ... I wasn't aware about this tragedy when it was happened... Now I'm 28 years old.. I heard these numbers many times 9/11..but never tried to know the fact behind these digits.... Very sad and pathetic.. Unbearable ....
@eking120,Les gaza strip USA frontier
@adamblom6868,"This just in, CNN lies. This just in, this was an inside job. Truth will be revealed soon."
@billnotice9957,Today! People would celebrate in Hollywood and the Media!
@talkingtomthecat.5208,.
@lumi6945,I wasn't even born until 2003 when this happened. after I learned about it in school as a kid. I still tear up at hearing the absolute fear in the reporter's voice describing the scene. R.I.P to all those who've passed away in the incident.
@pa7447,Like in a horror movie
@or10nsharkfin,"I was overseas at the time. My dad was in the US Army, stationed in Schweinfurt, Germany. I remember the day being as normal as it could be for us. Since we were about six hours ahead of the US East Coast these events started happening around when school was letting out for us. We were unaware of what was going on until I got home and our next-door neighbor met us in the hallway of our apartment and told us to turn on the news. We watched the TV, fixated on what was going on. My brother was able to make it home that night, as he was going to school up in Wurzburg and left just before they closed the gates to the base up there and locked down the post. School was closed the next two days for us. All we could do was just watch the news reports. I was young, but understanding enough to know what was happening. I knew things were going to change."
@luizotavio6332,The chickens came home
@thesily,holy shit my friends died in this
@hiddendragon1001,I was 4 when this happened. Man
@fuyadhasan8506,I don't believe it ... This is a US conspiracy to attack Afghanistan with the help of NATO.
@mcchefs3384,This so so sad
@lightningmcqueen207,did you know that if I drink too much fuel I'll turn into a dog
@user-iy2tf8gr3w,"I could never believe that anything like this would happen, I feel sad for all the lives lost when this happened and all the chaos that happened its so crazy that someone would do this it's just tragic that someone would even have the mind to think of this. Rip"
@elenawhtenack6564,iPhone
@JakethesnakeFerris11,I remembered where I was at when this happened I was at school in 1st grade I'm 28 now unfortunately on the10th anniversary of this tragedy I also lost my mother on this day she passed away in a hospital in Sioux City Iowa from a head injury at about the same time when the towers started to collapse
@wdsalih4380,"I'm from Iraq May God have mercy on him and his forgiveness to all the victims, and may God punish the murderers of the criminals A massacre occurred in America, killing thousands of innocent Americans The US government has decided that every day there will be a massacre in the Middle East that will leave millions of victims innocent What about the crimes of the Pentagon and the subversive plans of Congress? How many crimes have occurred in Iraq, Palestine and the Middle East countries? Millions of victims were killed and entire countries destroyed"
@DrKeez,"Just graduated high school and got my first job, sleeping in on my day off. Mother calls me tells me to flip on the TV, watched the second one hit live several minutes later. Then the Pentagon and reports of another plane crash in Pennsylvania. The hits kept coming, I knew then our lives and culture would be altered forever. That evening my grandfather told me that this will be the closest I'll get to understanding how Americans felt after Pearl Harbor."
@smashykitten7873,trump lost magats |
@dargecuffy3527,Naruto sad song???
@ra-mm8cu,Its 20 years later and its still hard to watch.
@user-ui2wt4uq2x,Part 1 :- America Created OBL Part 2 :- OBL Thrashes America Part 3 :- America Hunt's Down OBL The Moral Of The War Don't Never Drag Out Snake While It Is In Ring Of The Fire
@clayfnaf17,"20 years ago, its heartbreaking to realize that 2 decades ago, we were under attack, i feel very very bad for the people who lost their lives"
@ThomasJr,"I HAVE NO PATIENCE FOR THEIR SLOWNESS, JUST CALL IT FOR WHAT IT IS RIGHT AWAY. THESE PEOPLE ARE TOO SLOW, NOT ONE THOUGHT OUT OF THE BOX THAT DAY, EVERYBODY TREATING IT LIKE AN ACCIDENT LIKE THE IDIOTS THEY WERE."
@dr.joemccormick1025,20 years later this event is still fresh in mind unbelivable
@DavidMorseMusic,"""Turn on the news."" ""What channel?"" ""It doesn't matter."""
@itsyoboy3p095,Waaaaaaaa! So so saddddddd!
@jackwoods9604,"Still Very upset over how EASY this plan was for the Terrorists...And not only did they take over a Commercial plane and CRASH it they Overtook MULTIPLE Commercial planes and Crashed them...And they did all this with a couple of Knives and the ""Threat"" of a Bomb...Absolutely INCREDIBLE...The most important and Critical tool They needed to carry out this Plane was our FEAR...Fear can be a CRIPPLING emotion"
@zlymoon7651,(:
@yaboyjozy-3733,What a great view
@wordgeezer,"The reporter says ""this happened just moments ago"", but the video switches from the CNN roof camera to a view from ABC chopper 7. Why? ~ The CNN roof camera already showed the plane."
@attilanagy4993,https://www.youtube.com/watch?v=JnLcUxV1dPo
@attilanagy4993,What about WTC7?
@shanemag-ash6315,It's been 20 years since the tragedy happened. Rest In Peace to everyone killed on 9/11. #NeverForget
@joc8092,Rudy Guliani in his heroic days. Look at him now
@martinjones2203,"They shall grow not old, as we that are left grow old: Age shall not weary them, nor the years condemn. At the going down of the sun and in the morning We will remember them."
@lucyackerman2635,"My mom was on the 87th floor her last voice mail to my family was "" I am in a tower it is smoking inside and I am inside I just want to say I love you all very much plz be good too your dad "" I still miss her alot she did not deserve that ."
@jlaviation6207,"Unbelievable that it's been 20 years already, the world has changed so much since."
@Melss-ph9iu,Rest In Peace to all those people who died on 9/11
@skylafarrell5527,Rip to all who died I Rember I had surgery that day in a hospital as a baby I'm surprised the Taliban didn't hit hospital with bombs
@HaloAngelo,Omg this is really sad that the people had to die
@richardhutchison3123,Today it has been 20 years since this happened! God bless America!
@powerdriller4124,I was pushing a supermarket car going to the fruits area when knew of Jan 6 mob attack to the Capitol. I was driving my car going to work when knew of 9/11. I was in a bus going to the University when I knew of the kidnapping of hostages in Tehran 1979. I was pedaling a tricycle not caring where I was going when knew of John Kennedy assassination in November 1963. The four events are just yesterday in my mind.
@rickp3753,"If you were too young to experience this, you'll never know the anguish, and the anger we all endured."
@x1area51ii7,Saddam Husien would've still alive today if he said no we don't have massive destruction weapon. Isis and taliban are terrorists. There's no Virgin in heaven! Lol false teaching and false minded freaks.
@arod0005,"As tragic as the day was for those of us who witnessed it, even from TV screens.. The real tragedy still exists. We as a nation still deserve to know the truth. 20 years later, and we have gone completely backwards. I hope someday in my lifetime, I can believe the victims can truly rest in peace"
@singkewlaw1594,SO SAD THE OTHER TWO PLANE'S PASSENGERS DIDN'T TRY TO OVERTAKE THOSE KNIFE-WIELDING TERRORISTS AS WELL!!
@MicahTheManiac,Never Forget; 09/11/2001 Anno Domini.
@anaswarj320,I am from India but after watching this I cried a lot idk why
@AirportPlaneSpotting,0:38 You can see where the engines went in
@davidbrady2804,New York&Washington strong
@davidbrady2804,U thinkIt might b just little disturbing this Is terribleso many people losttheir lives that day
@zakariazakaria2710,"20 years ago,"
@supposedhumanmars,It's now been 20 years today and it still sickens me to watch it happen. I remember watching it as it happened and getting physically sick from the sight. It doesn't get any easier as the years pass.
@UndreamtJoker7,This is like watching your worst nightmare unfold in real life right before your eyes
@afor27,20 Years later
@BulletAgario,This is why we went to war. Men and women that were babies on this day were killed In Afghanistan due to very poor leadership from our so called president.
@scottmckellar1157,20 years on. Lest we forget
@garretenglish8961,20 YEARS
@maxyarbrough2443,I miss CNN when they were a news station. Not an opinion station. May all the souls rest in peace.
@beelarmi,20 years of war on terror and what for? Jesus
@lanehancock7994,Today marks 20 years. I'm watching the coverage as is it were to happen right now real time. RIP to everyone who died on this tragic day.
@ianoian1,I wonder if this new 'government' in Afghanistan will make any comments about this evil crime. Probably not. In fact they're probably secretly praising the evil b*stards who carried out these atrocities!!!
@leesweather9894,When will the United States learn. Ugh.
@mariolj03,"20 years ago, 2001-2021. We will never ever forget the terrorism."
@erinn6414,20 years ago now..it's hard to think that someone who worked there didn't go that day because of a problem or sickness..those lucky people..rest in peace those poor people..I feel so bad..
@baal6758,Guess what the date is.
@tailsthefox6466,Why would anyone do this
@freshman9658,I cant believe its been 20 years now since this disaster happened. RIP to everyone who lost there lives on that day
@mikewzowske,Damn today my social studies teacher actually told us that one of his students during 9/11 her aunt knew that the students dad was working there so the student had to be picked so the aunt could tell her that her dad died
@mommyemjay3373,20th
@charismalassiter1923,It is now 1 day before the 20th anniversary of this tragic event. R.I.P to all who died because of this. And my apologies and remorse to all the family's that lost someone to this that day.
@MK_Williams,Tomorrow is september 11 2021 .1 day before 20 years . my heart goes out to every person!
@lorenae.90,20 years later .... Jesus and everytime the time comes tears still happen no matter how many times i watch
@marlenesilva8843,Oof what really happens in September
@caotuantuvi,that is terriable! RIP
@Jwiznat,born in 1990. I was 11 years old and remember everything about that day.
@adielsouza6113,Translate:eu sonhei com esses atentados em 1999 quando pretendia viajar para Nova York
@ziodeterren2,"It feels bad to be on the wrong end,right?"
@mayraj2155,I was 15 when this happened if we only knew what we know now. God protect us and save us from this pandemic as well. Let our country unite once again like the day after September 11
@NoliMeTangere1163,"I remember every minute of that day. Not once do I remember, even for a second, doubting that it was deliberate. I was 19. It took another 10 years before I could view the footage again. It was another five after that before I started to feel closure. God knows what the people who survived that day, and the victims families must be feeling."
@MrHistory269,Bruh u can literally see the stock market diving as u keep watching the video
@annadilebo9105,Those terrorists targeted the longest beautiful buildings. They really targeted where it would hurt the most.these buildings were just magnificent. And they also knew that this is where they will have a good opportunity to kill as many people as possible.I'm speechless
@tomdebsky6388,"in the description it say 11th anniversary, but it would be the 10th"
@jannahjohnymuhammad9172,INSIDE JOB https://www.youtube.com/watch?v=5v86vyHyDx8&t=10s
@cbuc30,Jesus loves you.
@lancemckellar,I was disgusted when someone I knew laughed and thought this was a good thing! WTF!
@alannashaw,Was the plane just obliterated?
@emc1730,I wasn't when it happened. May the soul of the people who died on that disaster Rest in Peace
@levyjerome,What is not shown: the people jumping off the 100th floor of the building. This video is from the days when CNN was a news organization.
@aaronspector2603,Unbelievable we are already almost 20 years later. We will never forget.
@jokitkat4763,Love u USA
@Trevskee1123,You learning your numerology yet?
@minibuilder8187,This is a whole movie scenes
@MrReon1806,After 20 years Sleepy Joe legitimized Taliban and removed terrorist tag from them.
@mr.ramjangles5165,Easy Social Studies/Art integration to remember September 11th... https://youtu.be/jV8AlpXVn1E
@brucemacmillan7128,I'm not sure why this doc is flagged with a 'may be unsuitable for some viewers' warning. All of this footage is available elsewhere without the unsuitable flag.
@WBstein45,"so sad, so hard to watch!"
@josephjeon804,That guy in the control room missed the most important part at 1:05 ...
@granniez8035,"Yes, Afghanistan played their part in 911...but until someone can show me a picture of any part of a plane in the side of the Pentagon, I will never believe that we had not already prepared the buildings to ""pancake down"" - including Blg. 7 - which housed so many of our secrets...also pancaked down, and it wasn't hit with even a piece of shrapnel from the other collapsing towers... This is a very dark time for our country...Trump was not supposed to ever be President, but once he showed what a leader he is, they (the woke democrats), needed to make sure he wasn't put in office again...and if now for the manipulation by the Chinese in our voting machines, he would be in the WH today...because we ALL know that it was HE who won the election in a landslide...not Biden...and it's all because of China...Covid came from there...the voting machine guts were made in China...the masks (which could be sprayed with microscopic virus's), came from China...and even though some of us buy them on-line, without even checking out how they're made, we slap them over our faces without washing them first...then we have vaccines that have nothing to do with Covid...but are deadly in their own right - check out Dr. Sherry Tenpenny's 'depopulation"" video...(she's put her entire career on the line to warn us)...but very few people gave much thought to letting the government jab a chemical into our arms...and now it's maybe going to be mandatory!!! God has a Plan and this is all part of it...I truly expect to be caught up in the air any day...I am so ecstatic to know that I'm on the right side of the entire thing!! China owns this White House, and we are in for a weird time...the fact that we just armed the Taliban, was not foreseen by many...but the impact that they'll have on the world is going to be crazy..."
@zep2548,My mom left a few days out of the country before the disaster happen. She was shocked as she lived near there.
@magicalvibes6705,"Seriously that is the most nerve wrecking video, RIP"
@lisev415,How do you even recover from this?
@mychannel6718,I remember being in 7th grade math class watching this on tv. Our math teacher stopped class to watch on tv. R.I.P to everyone who lost their life that day. Will never forget!
@kytown4248,"And now today 8-19-21, you have President Biden negotiating and relying on the Taliban to get American's out of Afghanistan... what an idiot. UNBELIEVABLE!"
@leeanne4638,"IF ANYONE STILL BELIEVE'S THAT THIS WAS A OUTSIDE JOB,THEN PIG'S FLY IN YOUR REALITY"
@cathycastleton,"Like everyone, I can recall seeing this , when it happened, even tho I am in Australia and it was on a tiny black and white telly on a fridge at work I went home ( evening shift) and stayed up all nite almost, it got so much worse A sad and defining moment , should never have happened to so very many innocent people"
@lmtoa4842,Michael Jackson had a business meeting arranged at the world trade center on the same day of the 9/11 attack.He was supposed to arrive at 8:30 am but he overslept and missed it.
@Tomppi216,"I remember these news.. It was 4pm here (I live far away from USA) and I was reading a book. Local news showed what had happened. I've never been out of Europe but I know very much about that attack, I still remember and feel terrified and sad for those who died and their loved ones."
@scottfarmer8758,"I remember seeing the second plane hit live and the towers collapsing. Even now, almost 20 years later, I still can't believe what happened that day. The world has never been the same."
@guyfairchild752,NEVER FORGOTTEN
@johnshaw8228,9-11 was the first attack. There will be another. https://www.youtube.com/watch?v=3jPVCooerIo&t=62s
@alisonesler6621,ROT IN HELL 2001./2021 JUSTICE FOR EVERYBODY HAPPY 20TH Was only Pilot Error
@lukerothschild1175,Inside job
@TheMultiFandomFangirl44,"I wasn't born yet when this took place, but I can feel my family's shock and grief whenever they tell me about what happened that day. A lot of us were born in a post 9/11 world, and I pray that nothing like this ever happens again. Rest in peace to all of the victims of this awful tragedy."
@rebeccacombs8781,Our government orchestrated 911...
@alberb,"Noticed how in just 1 hour, NASDAQ and DOW's stock value drop like crazy."
@davidvenesky9053,Good Lord There are no words....Yes there is. Thank you George Bush. Thanks for flying Bin Ladens family out of the U.S . Even though 4500 planes were grounded. THANK YOU GEORGE BUSH! THANK YOU! it's all on you!
@MH-nc5jd,"We got lucky less than 4,000 people died.. I don't mean that's lucky, but I mean that on average those buildings have around 50,000-60,000 people in them.. if the terrorists had hijacked flights at say 12 noon instead, they would have killed so so many more.. luck always plays a factor.. or destiny, same thing.."
@MH-nc5jd,"Crazy how this is history to kids now the way Vietnam or WWII was to me.. completely removed from it and only stories and pictures remains.. it's the feeling, the emotion, what you were doing.. that's the history"
@MH-nc5jd,"The only conspiracy that happened that day was flight 93.. it was shot down, for good reason, but the public can't stomach that sort of reality.. it is what it is.. no one called anyone from a cell phone on a flight 30,000 feet up.. especially in 2001 when people lost signal in an elevator"
@Cuseball121,"No matter who you are, no matter where in the states you live, no matter how old you are. I bet you remember where you were on September 11th"
@kevinpark55,"I don't think that this is tragic. The ""victims"" were obviously not morally good people and I can prove it. I am a fair person to offer to always love anyone in the entire world who will forever reciprocate that kindness. No one in the world though except my family and friends reciprocates. The result is that everyone else in the world is evil since only evil people would not reciprocate any kindness offered to them. This includes the victims in this case. So, only an evil person died in this case. Thus, it would be irrational for me to be sad with the loss of evil people since the degree of the loss of evil people equals the degree to which the world becomes a better place."
@kevinpark55,"I don't think that this is tragic. The ""victims"" were obviously not morally good people and I can prove it. I am a fair person to offer to always love anyone in the entire world who will forever reciprocate that kindness. No one in the world though except my family and friends reciprocates. The result is that everyone else in the world is evil since only evil people would not reciprocate any kindness offered to them. This includes the victims in this case. So, only an evil person died in this case. Thus, it would be irrational for me to be sad with the loss of evil people since the degree of the loss of evil people equals the degree to which the world becomes a better place."
@1gbdolan,My dad was on the roof of that building just months before the building came down When he went on : March 11 2001 When the building came down: September 11 2001
@SuperGlotta,Weapons of mass destruction ??? Lol
@norrisnutsarmy6491,I was there I will just feel so angry that the people put the bump into the pain I will just still like Killin done the same with the just killed all those people in there it's just I'm just really mad at those people that just killed old is a million people it's just really really really cruel
@animalanimal7939,War
@mzyy.rh.,"20 years later, it's still heart breaking as dropping a muffin on the floor (not trying to make 9/11 a joke) It's just that The tower where like muffins, you make them with all your love and effort and seeing them get ruined is just a terrible feeling."
@patriciacarrillo6738,This is sad
@paperroman8345,"The day American intelligence , military establishment and the government failed itself ..."
@ericjones7769,I was 22 years old at tha time and ill never 4get my mom waking me up out of my sleep and telling me that both the world trade center towers had collapsed and it felt like my heart had drop into my stomach and i remember getting up and turning on the television and it was on every single television channel you could imagine!!!!! Rip too all who lost their lives that horrible day!!!!!!
@billygottemoller6409,"Probably the only time Rudy Giuliani has ever said ""put your mask on"""
@marycahill546,"Greetings from Canada. That morning i was returning home to Hamilton, Ontario from a vacation on the Ottawa River. I listened to the news on the car radio for 7 hours. Spent the next 3 weeks glued to CNN TV in my spare time. It was all so surreal."
@sofiamae1976,These are scary. My dad went back in the buildings and tried to save other people but got trapped
@joelkoffi2806,SAD to see what the Americans did to their own people !
@rick459xp2,2001th comment
@pgdgawgd,sadly moment... not only the USA. all over the world shocking event
@jondishmonmusicandstuff2753,I was working two blocks away when this happened and got off the subway at St John Street to go work at Healthfirst and I will never forget when I looked out the window and the second plane hit and it shook the building in the building sway back and forth after that everything was a nightmare then all the smoke came towards Brooklyn where I lived in Park Slope and I saw that war planes flying over it was a mask I just couldn't believe that
@PaulieB201,I was 11 when this all went down. My mom watched both towers get hit from our Balcony in Fort Lee New Jersey. I remember Debris literally coming down all over north east NJ. This day will live with me forever. I distinctly remember a girl in my class running out crying cause her dad was in that tower. Unfortunately He didn't make it home
@allancove4483,"Sad part is, seems more & more people are forgetting this day ever happened."
@josephcingrani7161,I was in 2nd grade when this happened. I remember school closing early and my dad rushing me and my brothers home because he thought Chicago was a target next.
@crazydinosaur8945,i was 14 days old at the time
@mrdingatoz1697,my friend......
@blurrysuprisedcat8334,In Soviet Russia Plane Rides You
@stormistory9473,Luis INVESTMENT is a well-registered company with the top legal authorities in United States. His purpose is to provide maximum and Good returns in line with your investments.
@Gorrilas_goonoX1boxed,I was 2
@estiandcountryhumansdiscon4320,Most people forgot WTC Complex (other than twin towers) The Pentagon and Shanksville
@clairerb4313,"Uggghhhhhh, im crying at this scene, RIP people who died"
@Lommy9999,To think there were people who watched this and were happy. Sickening.
@kamelismail3730,this is extremely sad rip to all victims :(
@jafhiasam6984,2021 still unforgettable
@spong8383,"So. Sept. 11, this year, will be this event's 20th anniversary. It feels like last week when this happened. Time passes, huh?"
@SuperLordHawHaw,"Wish they had left the sad piano music out, the recording speak for themselves"
@chrisgroves4634,Why werent fighter jets circling...odd
@so_bendy,I remember... I'd just got home from school and my grandparents were watching the news and this is what was on. It had just happened and it was live. It was all so surreal watching this whilst eating our dinner...
@conniesnyman1046,I don't know how many people know this but this was 1 of the warnings... And it is going to get worse the more we let the devil play with us IM NOT KIDDING! I SWEAR ON THE POOR PEOPLE WHO LOST THEIR LIVES FOR AS LONG AS THE WORLD EXISTED!! We need to stop this some how...
@hse665trf5,"Filthy scenario in order to invade other countries and steal their good and wealth.. do you know how many innocent people and civilian have been killed after the foolish rage of US government? To fake sadness and grief and hurting your own people for the sake of raising power over powerless countries that you know you can manoeuvre, is cringy. and pretend to be a hero that defended and saved it's country by killing others childs and destroying their lands."
@jerich2491,19 years later its yet unforgivable i mean lots of people died and its so tall that ppl died..
@user-vk6hk1yc4f,911
@jeddkoog9676,"I personally don't remember much about 9/11 since I was very young when the event occurred. But as for the traumatic year of 2020 in which we will end in two days, I will also never forget 9/11 as well."
@Hannatalks,How do I just know about this well I wasn't alive
@gamingstars2835,Imagine if the planes went in the towers as low as they could the WHOLE building would have collapsed almost instantly and would've killed more ppl
@sinabicersoy505,"Gives me chills every time and i'm not American. But that day the world couldn't belive what happend in New York... So much loss, so much hurt! We will never forget these 3.000 people who died that day ! But let me just say the moment Rudy Giuliani says ""Put youre mask on"" seems like he was much smarter 19 years ago then now..."
@desimusicrecords635,I do to
@desimusicrecords635,Try it
@desimusicrecords635,Think and rethinking over over untell don't understand
@desimusicrecords635,Must try in ur land a FBI CASE
@desimusicrecords635,Looks really bombing like wires gas oil wire cutting
@aag-le4uj,I just want to know why...
@MrPotatoPants326,Imagine what the emergency people were thinking when the person on the other end said they were gonna die and then 5 seconds later they die.
@theyellowman7803,I was only three when this happened and seeing the absolute terror on my teachers face when she turned on tv and saw the devastation That still haunts me
@toxiboi5771,"6:34 ""Put your mask on"" -Giuliani 2001"
@TheSearches,Everyone PLEASE go watch 'Architects and Engineers On 9/11'
@jxmes8046,These guys took it too far. They thought they could hurt our country but nope 19 years later we are still strong
@user-bl5yg5cv9c,If this didn't happened then afghanistan also was not war country
@hugi117,I look back at this and think of the people higher that the crash. Jumping or burning to death. We will never forget this.
@parkerarts,My dad was working in the Sears tower (Chicago) during 9/11. They had to evacuate immediately after they knew it was a terrorist attack. Every day I think about what could have happened to him.
@DQCoolStarVidsHD,"If Trump were president then, we would not have this problem. Trump is THE TOUGHEST on RADICAL ISLAMIC TERRORISM."
@bigguns2229,All those people just having coffee getting ready for work just to now see them self's make a decision jump 110 feet from a building or get burned alive or get crushed by a collapse building
@JUMALATION1,"I vividly remember this, even though I was a kid when it happened. Now working for live news, I'm terrified watching this unfold. I would never ever want to witness anything like this ever again. (Even tho the corona virus has been a ""slow-brewing"" type of news but still severe, this is beyond... anything)"
@dickie9502,Looking back to when CNN did news! Shame!
@vile7099,105
@vile7099,2019. U S A FIRE ROBOT. NO STOCK MARKET . ROBOT BAD BOOKS STUDY DIE ALL EMAIL COMPUTERS
@r.r819,What the hell did we do to piss off Osama and Al-Qaeda to come and attack our country like this?
